Match Number,HTGD,FGS,RED-H,RED-A,POINTS_H,POINTS_A,TOTAL_H_P,TOTAL_A_P,Match_O
1,0,2,0,0,0,3,0,55,1
2,2,1,0,0,0,1,65,0,2
3,3,1,0,0,0,0,83,48,2
4,2,1,0,0,0,0,91,43,2
5,0,2,0,0,0,0,0,82,1
6,0,0,0,0,0,0,67,42,1
7,1,1,0,0,0,0,50,0,2
8,1,1,0,0,0,0,58,51,2
9,1,1,0,0,0,0,38,63,2
10,0,0,0,0,0,0,0,45,2
11,-1,0,0,1,0,0,55,47,2
12,2,1,0,0,0,0,56,65,2
13,1,1,0,0,0,3,51,0,2
14,1,1,0,0,1,1,43,67,2
15,0,0,0,1,1,3,42,0,2
16,0,2,0,0,0,3,43,38,1
17,0,2,0,0,0,3,63,50,1
18,0,0,0,0,0,3,47,83,0
19,0,0,0,0,0,3,48,56,1
20,-1,0,0,0,0,3,45,91,2
21,0,0,1,1,0,4,47,56,2
22,1,1,0,0,1,1,48,0,2
23,0,0,0,1,3,4,65,50,0
24,0,0,0,0,1,6,0,83,0
25,0,0,0,0,1,1,0,63,2
26,1,1,0,0,9,3,83,65,2
27,-1,0,0,0,3,4,45,38,0
28,2,1,0,0,4,3,42,58,2
29,0,0,0,0,1,3,63,91,0
30,1,0,0,0,1,4,82,55,2
31,-1,0,0,0,4,7,55,42,1
32,2,1,0,0,7,4,50,82,2
33,-1,0,0,0,1,3,67,45,1
34,0,2,0,0,4,1,56,0,2
35,1,1,0,0,6,3,91,47,2
36,0,2,0,0,3,4,58,48,0
37,0,2,0,0,7,3,38,51,2
38,0,2,0,0,1,8,0,42,1
39,1,1,0,0,3,4,0,43,2
40,-2,0,0,0,2,6,0,0,0
41,0,2,0,0,9,12,0,83,1
42,1,1,0,0,4,6,82,58,2
43,1,1,0,0,9,4,91,82,2
44,0,1,0,0,2,4,63,43,2
45,0,2,0,0,3,7,65,48,1
46,0,0,0,0,5,3,55,58,0
47,-1,0,0,0,12,2,83,67,0
48,0,0,0,0,3,10,47,38,0
49,0,2,0,0,7,4,56,45,1
50,0,2,0,0,10,3,50,51,1
51,1,1,0,0,9,3,42,47,2
52,0,0,0,0,8,12,48,91,0
53,0,2,0,0,4,5,43,55,2
54,-1,0,0,0,5,5,45,63,0
55,1,1,0,0,4,2,51,0,1
56,1,1,0,0,2,5,0,45,2
57,-1,0,0,0,13,8,38,56,0
58,0,1,0,0,6,11,58,50,1
59,0,2,0,0,7,4,82,65,2
60,0,2,0,0,5,2,67,0,2
61,1,1,0,0,12,7,50,43,1
62,1,1,0,0,3,8,0,48,1
63,-1,0,0,0,5,10,55,0,0
64,0,0,0,0,8,5,63,51,1
65,1,1,0,0,13,7,83,58,2
66,1,1,0,0,4,13,65,38,2
67,1,1,0,0,11,10,56,82,2
68,0,1,0,0,3,8,47,67,0
69,0,1,0,0,15,12,91,42,1
70,1,1,0,0,13,5,38,55,2
71,-1,0,0,0,13,16,0,91,0
72,2,1,0,0,11,4,67,0,2
73,0,2,0,0,13,7,42,65,2
74,-1,0,0,0,10,11,82,63,1
75,0,2,0,0,8,5,43,0,1
76,1,1,0,0,5,13,45,50,2
77,0,1,0,0,14,12,42,48,1
78,0,2,0,0,9,3,48,47,2
79,1,1,0,0,7,14,58,56,0
80,1,1,0,0,5,16,51,83,0
81,2,1,0,1,13,6,50,0,2
82,1,1,0,0,19,11,83,82,2
83,0,0,0,0,12,17,63,56,2
84,0,2,0,0,8,7,45,58,2
85,1,1,0,0,8,5,65,55,2
86,-2,0,0,0,13,14,0,67,0
87,2,1,0,0,5,9,51,43,2
88,0,2,0,0,3,4,47,0,1
89,0,2,0,0,19,16,91,38,2
90,0,2,0,0,5,11,0,65,1
91,0,2,0,0,7,4,58,47,1
92,-1,0,0,0,17,16,67,50,1
93,-2,0,0,0,20,22,56,83,0
94,0,0,0,0,13,8,48,51,0
95,3,1,0,0,11,15,82,42,2
96,1,1,0,0,16,13,38,0,2
97,1,1,0,0,6,11,0,45,2
98,0,0,0,0,8,6,58,0,0
99,1,1,0,0,9,11,43,45,2
100,1,1,0,0,5,12,55,63,2
101,0,1,0,0,6,22,0,91,0
102,0,2,0,0,8,18,55,67,2
103,1,1,0,0,15,12,42,63,2
104,0,0,0,0,12,25,65,91,2
105,0,2,0,0,13,17,48,50,2
106,0,0,0,0,20,11,56,51,0
107,1,1,0,0,5,12,47,43,2
108,1,1,0,0,14,13,82,0,2
109,2,1,0,0,25,19,83,38,2
110,2,1,0,0,14,8,51,47,2
111,0,0,0,0,12,28,63,83,0
112,1,1,0,0,18,17,67,82,2
113,0,2,0,0,12,8,43,58,1
114,2,1,0,0,25,9,91,0,2
115,-1,0,0,0,17,18,50,42,0
116,0,2,0,0,11,11,45,55,2
117,0,0,0,0,19,16,38,48,1
118,-1,0,0,0,9,20,0,56,1
119,0,1,0,0,10,31,0,83,0
120,0,2,0,0,14,17,45,82,1
121,1,0,0,0,13,15,0,65,2
122,0,2,0,0,17,21,51,42,1
123,1,1,0,0,12,15,63,65,1
124,3,1,0,0,13,17,43,48,2
125,-1,0,0,0,21,9,67,58,1
126,1,1,0,0,28,11,91,55,2
127,0,2,0,0,17,21,50,56,2
128,0,0,0,0,20,9,38,0,2
129,1,1,0,0,16,8,0,47,2
130,1,1,0,0,11,10,55,0,2
131,1,1,0,0,21,22,56,67,2
132,0,0,0,0,9,10,0,0,0
133,0,2,0,0,10,23,58,38,2
134,1,0,0,0,16,18,65,51,2
135,1,1,0,0,34,31,83,91,1
136,0,0,0,0,8,20,47,50,1
137,0,0,0,0,22,15,42,45,1
138,-1,0,1,0,17,19,48,0,0
139,0,2,0,0,18,16,82,43,2
140,0,2,0,0,21,23,82,38,1
141,1,1,0,0,35,21,83,50,2
142,2,1,0,0,13,20,63,48,2
143,-1,0,0,0,24,23,38,42,1
144,1,1,0,0,22,24,0,56,2
145,-1,0,0,0,13,9,0,47,2
146,-4,0,0,0,18,22,51,82,0
147,-1,0,0,0,16,38,45,83,0
148,-2,0,0,0,23,16,42,43,0
149,1,1,0,0,17,22,48,67,2
150,-1,0,0,0,24,32,56,91,0
151,2,1,0,0,22,19,67,65,2
152,0,0,0,0,14,18,55,51,0
153,0,2,0,0,9,16,47,63,2
154,0,2,0,0,19,16,65,45,2
155,0,2,0,0,19,9,43,0,1
156,0,2,0,0,21,14,50,55,2
157,-2,0,1,0,16,16,63,58,0
158,0,2,0,0,25,20,82,48,2
159,-1,0,0,0,16,21,45,51,1
160,2,1,0,0,25,24,38,50,2
161,1,1,0,0,22,12,65,47,2
162,0,2,0,0,10,25,0,0,1
163,1,1,0,0,24,14,56,55,2
164,-1,1,0,0,13,25,58,0,2
165,2,1,0,0,41,20,83,43,2
166,-1,0,0,0,26,24,0,50,0
167,-1,0,0,0,22,42,51,91,0
168,2,1,0,0,20,17,48,45,2
169,1,1,0,0,24,39,50,91,0
170,-2,0,0,0,20,25,43,65,0
171,0,2,0,0,14,44,55,83,2
172,-1,0,0,0,12,28,47,82,0
173,-1,0,0,0,29,28,67,38,1
174,0,2,0,0,19,11,58,0,2
175,1,1,0,0,26,16,0,63,0
176,-1,0,0,0,22,17,51,0,0
177,0,0,0,0,25,27,42,56,0
178,0,2,0,0,36,19,91,58,2
179,0,0,0,0,22,26,51,67,0
180,-1,0,0,0,16,24,0,42,1
181,0,0,0,0,35,25,91,67,1
182,0,0,0,0,25,44,42,83,0
183,0,2,0,0,31,11,82,0,2
184,-2,0,0,0,20,30,43,56,0
185,1,1,0,0,17,12,45,47,2
186,2,1,0,0,22,28,58,65,2
187,-1,0,0,0,29,20,38,0,2
188,0,0,0,0,20,20,0,43,0
189,0,0,0,0,11,33,0,67,0
190,0,2,0,0,23,17,48,55,1
191,2,0,0,0,30,19,67,63,2
192,0,0,0,0,18,23,55,43,0
193,1,1,0,0,20,36,0,67,2
194,1,0,0,0,12,24,47,48,1
195,1,1,0,0,45,26,91,0,1
196,0,2,0,0,28,25,65,42,2
197,-2,0,0,0,18,32,55,38,0
198,0,2,0,0,19,34,63,82,2
199,0,0,0,0,33,25,56,58,2
200,0,2,0,0,27,20,50,45,1
201,0,2,0,0,47,22,83,51,2
202,-1,0,0,0,31,30,50,0,1
203,0,1,0,0,32,26,65,58,0
204,-2,0,0,0,12,40,0,82,0
205,0,2,0,0,39,29,56,43,1
206,0,1,0,0,16,24,47,45,0
207,1,1,0,0,48,22,91,51,2
208,3,1,0,0,54,26,83,42,2
209,1,1,0,0,23,36,0,38,1
210,0,0,0,0,18,27,55,48,1
211,-1,0,0,1,28,39,63,67,0
212,2,1,0,1,36,16,67,47,2
213,0,2,0,0,25,47,42,91,1
214,0,2,0,0,37,39,82,56,2
215,0,2,0,0,26,11,48,0,1
216,0,2,0,0,26,31,43,50,2
217,0,1,0,0,21,23,45,0,2
218,1,1,0,0,35,31,38,65,1
219,4,1,0,0,27,18,0,55,2
220,-1,0,0,0,22,25,51,63,0
221,0,1,0,0,25,53,58,83,1
222,-1,0,0,0,13,25,47,42,2
223,1,1,0,0,22,21,63,45,2
224,1,0,0,0,36,35,56,38,2
225,0,0,0,0,46,25,91,48,1
226,0,1,0,0,28,25,50,58,2
227,0,1,0,0,50,27,83,0,2
228,-1,0,0,0,31,34,65,82,0
229,1,1,0,0,31,24,0,0,2
230,-1,0,0,0,30,28,43,63,0
231,0,0,0,0,22,32,51,50,0
232,0,0,0,0,42,57,67,83,2
233,2,1,0,0,43,51,82,91,2
234,0,2,0,0,26,12,42,0,2
235,0,2,0,0,28,32,48,65,1
